1;0;0;0;m;0;0;0;0;0;0;0;0;0;0;s;0;0;0;0;m;0;0;0;m;0;0;0;0;1
1;5;1;1;2;1;1;5;2;2;2;3;5;1;1;1;1;1;2;2;2;2;5;2;2;2;2;2;5;1
1;4;0;0;0;0;0;4;0;0;0;0;4;6;6;6;6;6;0;0;0;0;4;0;0;0;0;0;4;1
1;4;0;m;0;0;0;4;0;0;0;0;4;0;a;0;0;0;0;0;0;0;4;0;0;e;0;0;4;1
1;4;2;1;2;1;2;4;0;0;0;0;4;0;0;0;0;0;5;2;2;2;1;1;1;1;1;1;4;1
1;4;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;1
1;4;0;e;0;0;0;4;0;m;0;0;4;0;0;m;0;0;4;0;0;0;0;0;0;0;0;0;4;1
1;1;2;2;2;1;2;2;1;2;2;1;4;2;2;2;1;1;1;1;1;1;5;2;2;2;5;2;2;1
1;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;6;6;6;6;6;6;4;0;0;0;4;0;0;1
1;0;m;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;m;1
1;2;2;2;2;2;2;2;2;5;2;2;2;1;1;1;1;0;0;0;0;0;4;2;2;2;2;2;2;1
1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1
1;0;0;0;0;0;0;0;0;4;0;p;0;0;0;0;0;0;0;0;0;0;4;0;0;0;e;0;0;1
1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
